City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,burang,30.25,81.1667,44.92,88,2,2.98,CN,1720569858
166,yulinshi,38.2906,109.7494,77.2,58,64,8.88,CN,1720569859
167,itoman,26.1247,127.6694,89.4,81,40,17.27,JP,1720569860
168,barakani,-12.1356,44.4317,76.12,70,5,10.18,KM,1720569861
169,minas de marcona,-15.2119,-75.1103,50.7,88,7,13.02,PE,1720569862
170,kununurra,-15.7667,128.7333,78.78,53,23,12.66,AU,1720569864
171,luwuk,-0.9516,122.7875,73.22,91,100,6.93,ID,1720569865
172,lazaro cardenas,17.9583,-102.2,82.31,74,99,6.11,MX,1720569866
173,kruisfontein,-34.0033,24.7314,54.88,71,53,7.23,ZA,1720569867
174,timmins,48.4669,-81.3331,69.62,83,75,0.0,CA,1720569868
175,mata-utu,-13.2816,-176.1745,80.13,84,100,24.27,WF,1720569869
176,miyako,39.6367,141.9525,77.07,69,97,2.21,JP,1720569871
177,dunedin,-45.8742,170.5036,47.8,90,80,3.94,NZ,1720569641
178,dame-marie,18.5667,-74.4167,82.78,79,93,5.01,HT,1720569873
179,lebu,-37.6167,-73.65,43.34,74,0,11.68,CL,1720569874
180,sitka,57.0531,-135.33,55.29,94,100,8.05,US,1720569876
181,cururupu,-1.8283,-44.8683,72.84,91,9,1.81,BR,1720569877
182,richards bay,-28.783,32.0377,66.76,15,0,7.87,ZA,1720569878
183,lorengau,-2.0226,147.2712,84.0,74,72,8.32,PG,1720569879
184,nevel'sk,46.6733,141.8633,57.51,96,100,7.49,RU,1720569880
185,qaqortoq,60.7167,-46.0333,40.28,99,100,7.18,GL,1720569881
186,chonchi,-42.6128,-73.8092,39.11,94,2,3.44,CL,1720569883
187,kone,-21.0595,164.8658,79.11,57,67,9.15,NC,1720569884
188,klyuchi,52.2667,79.1667,60.93,81,15,5.61,RU,1720569885
189,scottburgh,-30.2867,30.7532,59.13,21,7,7.43,ZA,1720569886
190,sinop,41.7711,34.8709,66.81,74,5,4.05,TR,1720569887
191,likiep,9.8251,169.3107,82.44,76,37,19.39,MH,1720569889
192,pisco,-13.7,-76.2167,62.65,82,0,10.36,PE,1720569891
193,emerald,-23.5333,148.1667,66.34,83,2,12.88,AU,1720569892
194,iquitos,-3.7481,-73.2472,75.24,88,75,3.44,PE,1720569767
195,olyokminsk,60.3736,120.4264,77.38,37,71,8.12,RU,1720569894
196,kainantu,-6.2887,145.8655,70.14,69,92,3.53,PG,1720569895
197,santa elena de uairen,4.6167,-61.1333,68.13,89,91,2.08,VE,1720569897
198,alofi,-19.0595,-169.9187,75.09,57,75,20.71,NU,1720569898
199,vernon,50.2581,-119.2691,103.93,17,0,1.14,CA,1720569644
200,cockburn town,21.4612,-71.1419,82.9,83,0,16.51,TC,1720569900
201,coron,11.9986,120.2043,78.6,88,100,1.28,PH,1720569901
202,fale old settlement,-9.3852,-171.2468,83.21,76,77,16.82,TK,1720569903
203,kimbe,-5.5502,150.1429,86.41,65,77,8.59,PG,1720569904
204,talara,-4.5772,-81.2719,66.96,88,0,18.37,PE,1720569905
205,mahajanga,-15.7167,46.3167,66.22,94,0,4.61,MG,1720569906
206,tabou,4.423,-7.3528,75.72,86,100,11.34,CI,1720569907
207,hamilton,39.1834,-84.5333,84.83,75,100,5.99,US,1720569726
208,touros,-5.1989,-35.4608,76.59,85,2,9.98,BR,1720569910
209,la ronge,55.1001,-105.2842,80.85,44,0,6.91,CA,1720569911
210,loudeac,48.1783,-2.7543,60.39,96,57,9.01,FR,1720569912
211,gao,16.6362,1.637,84.13,58,79,27.6,ML,1720569913
212,ipueiras,-7.0333,-40.45,72.57,52,1,5.86,BR,1720569914
213,atbasar,51.8,68.3333,60.39,78,15,4.41,KZ,1720569916
214,al bayda',32.7627,21.7551,69.03,94,25,6.67,LY,1720569917
215,attur,11.6,78.6167,76.21,89,100,5.35,IN,1720569918
216,monrovia,6.3005,-10.7969,76.77,89,54,7.92,LR,1720569919
217,shkoder,42.0683,19.5126,80.94,71,6,4.32,AL,1720569920
218,utrik,11.2278,169.8474,82.15,73,15,17.54,MH,1720569921
219,pontes e lacerda,-15.2261,-59.3353,66.13,55,3,5.26,BR,1720569923
220,sorong,-0.8833,131.25,77.94,90,100,7.63,ID,1720569924
221,saint-louis,16.3333,-15.0,89.24,47,83,13.29,SN,1720569925
222,tazacorte,28.629,-17.9293,70.77,94,20,11.5,ES,1720569926
223,mahibadhoo,3.7833,72.9667,83.03,76,70,6.4,MV,1720569927
224,filadelfia,39.9523,-75.1638,89.02,69,100,3.0,US,1720569668
225,nagqu,31.5,92.0,45.86,86,100,1.23,CN,1720569930
226,saldanha,-33.0117,17.9442,55.45,84,94,14.83,ZA,1720569931
227,midvagur,62.0511,-7.1939,45.43,93,33,0.0,FO,1720569932
228,ntoum,0.3833,9.7833,73.49,84,83,4.68,GA,1720569933
229,toliara,-23.35,43.6667,64.08,84,0,10.31,MG,1720569934
230,al jawf,29.5,38.75,85.28,18,0,4.54,SA,1720569936
231,ust-nera,64.5667,143.2,70.63,35,76,4.97,RU,1720569937
232,kailua-kona,19.6406,-155.9956,84.16,83,75,13.8,US,1720569938
233,udachny,66.4167,112.4,73.71,52,100,10.89,RU,1720569939
234,rongelap,11.1635,166.8941,83.05,76,4,17.67,MH,1720569940
235,vadso,70.0744,29.7487,50.88,87,100,8.05,NO,1720569942
236,lerwick,60.1545,-1.1494,53.6,87,99,12.86,GB,1720569943
237,karratha,-20.7377,116.8463,71.71,34,50,4.92,AU,1720569944
238,ilulissat,69.2167,-51.1,36.28,99,100,4.23,GL,1720569945
239,belem de sao francisco,-8.7539,-38.9658,74.8,72,28,20.54,BR,1720569946
240,kobryn,52.2138,24.3564,61.47,80,0,8.25,BY,1720569948
241,kavieng,-2.5744,150.7967,83.46,78,100,11.63,PG,1720569949
242,palmeiras de goias,-16.805,-49.9258,72.88,39,33,2.33,BR,1720569950
243,ta`u,-14.2336,-169.5144,78.78,79,99,29.64,AS,1720569951
244,topeka,39.0483,-95.678,84.45,52,0,8.05,US,1720569920
245,elliot,-31.3333,27.85,46.96,26,38,27.16,ZA,1720569956
246,urumqi,43.801,87.6005,72.55,50,0,4.47,CN,1720569958
247,sterling,39.0062,-77.4286,91.69,67,75,4.61,US,1720569747
248,junagarh,19.8667,82.9333,78.84,83,93,3.27,IN,1720569960
249,yemva,62.59,50.8594,64.67,81,90,4.52,RU,1720569961
250,phibun mangsahan,15.2447,105.2291,76.98,85,100,8.34,TH,1720569963
251,luderitz,-26.6481,15.1594,56.41,46,31,6.73,NA,1720569964
252,bakanas,44.8081,76.2772,75.24,49,0,3.31,KZ,1720569965
253,mogok,22.9167,96.5,64.47,98,100,3.27,MM,1720569966
254,salekhard,66.53,66.6019,63.43,63,11,2.48,RU,1720569837
255,novofedorivka,46.1713,32.3178,77.79,54,91,10.85,UA,1720569968
256,mount gambier,-37.8333,140.7667,46.08,84,14,5.84,AU,1720569970
257,jamestown,42.097,-79.2353,74.84,100,75,4.61,US,1720569771
258,hermiston,45.8404,-119.2895,108.95,10,0,9.22,US,1720569820
259,chipinge,-20.1883,32.6236,48.9,33,0,3.62,ZW,1720569974
260,sanctuary point,-35.1114,150.629,62.33,65,43,6.87,AU,1720569975
261,hanumangarh,29.5833,74.3167,90.34,61,44,4.16,IN,1720569977
262,sampit,-2.5333,112.95,75.85,91,99,1.7,ID,1720569978
263,augusto correa,-1.0217,-46.635,75.4,87,18,3.04,BR,1720569979
264,el alto,-4.2714,-81.2147,64.06,84,23,17.65,PE,1720569980
265,wynyard,-41.0,145.7167,51.91,91,100,2.75,AU,1720569981
266,christchurch,-43.5333,172.6333,45.95,92,100,9.22,NZ,1720569952
267,rudnyy,52.9594,63.1206,59.23,77,90,6.85,KZ,1720569790
268,baymak,52.5933,58.3225,60.21,92,59,11.56,RU,1720569985
269,mejit,10.2753,170.8646,81.93,71,47,17.13,MH,1720569986
270,anadyr,64.75,177.4833,61.3,54,40,31.0,RU,1720569987
271,motueka,-41.1333,173.0167,52.11,63,13,2.57,NZ,1720569988
272,ellsworth,44.5434,-68.4195,73.56,94,75,8.05,US,1720569796
273,pokhara,28.2333,83.9833,72.0,92,95,1.28,NP,1720569991
274,litayan,7.3358,124.0347,80.24,81,100,3.2,PH,1720569992
275,cestos city,5.46,-9.5828,77.0,83,74,12.82,LR,1720569993
276,ancud,-41.8697,-73.8203,39.11,81,2,5.7,CL,1720569994
277,katiola,8.1333,-5.1,74.03,96,97,6.17,CI,1720569995
278,doaba,33.4244,70.7364,83.46,58,3,3.18,PK,1720569996
279,punta arenas,-53.15,-70.9167,41.11,81,20,34.52,CL,1720569781
280,prainha,-1.8,-53.48,75.29,86,73,1.43,BR,1720569999
281,conception bay south,47.4999,-52.9981,66.04,91,54,11.5,CA,1720570000
282,hilo,19.7297,-155.09,83.93,71,0,10.36,US,1720570001
283,kidal,18.4411,1.4078,90.77,31,45,4.45,ML,1720570002
284,solnechnyy,50.7214,136.6319,49.93,96,100,5.97,RU,1720570004
285,ust-tsilma,65.441,52.1498,62.06,96,49,3.24,RU,1720570005
286,kerikeri,-35.2268,173.9474,62.91,83,21,7.0,NZ,1720570006
287,lompoc,34.6391,-120.4579,89.74,80,0,11.99,US,1720570007
288,kodinsk,58.6881,99.1844,71.8,66,83,1.7,RU,1720570008
289,necochea,-38.5473,-58.7368,38.07,80,9,3.2,AR,1720570010
290,akureyri,65.6835,-18.0878,59.31,68,98,7.49,IS,1720570011
291,piui,-20.4653,-45.9581,72.36,43,86,4.0,BR,1720570012
292,crotone,39.0851,17.1178,82.18,52,0,3.89,IT,1720570013
293,danane,7.2596,-8.155,70.39,99,89,2.15,CI,1720570014
294,labasa,-16.4167,179.3833,77.38,78,100,12.5,FJ,1720570015
